index,cx,cy,dx,dy
a-154.8x-165.6,-154.8,-165.6,-3.1E-06,0
a-151.2x-165.6,-151.2,-165.6,3.1E-06,0
a-147.6x-165.6,-147.6,-165.6,-6.1E-06,0
a-144x-165.6,-144,-165.6,0,0
a-140.4x-165.6,-140.4,-165.6,6.1E-06,0
a-136.8x-165.6,-136.8,-165.6,-3.1E-06,0
a-133.2x-165.6,-133.2,-165.6,3.1E-06,0
a-129.6x-165.6,-129.6,-165.6,-6.1E-06,0
a-126x-165.6,-126,-165.6,0,0
a-122.4x-165.6,-122.4,-165.6,-1.5E-06,0
a-118.8x-165.6,-118.8,-165.6,-3.1E-06,0
a-115.2x-165.6,-115.2,-165.6,3.1E-06,0
a-111.6x-165.6,-111.6,-165.6,1.5E-06,0
a-108x-165.6,-108,-165.6,0,0
a-104.4x-165.6,-104.4,-165.6,-1.5E-06,0
a-100.8x-165.6,-100.8,-165.6,-3.1E-06,0
a-97.2x-165.6,-97.2,-165.6,3.1E-06,0
a-93.6x-165.6,-93.6,-165.6,1.5E-06,0
a-90x-165.6,-90,-165.6,0,0
a-86.4x-165.6,-86.4,-165.6,-1.5E-06,0
a-82.8x-165.6,-82.8,-165.6,-3.1E-06,0
a-79.2x-165.6,-79.2,-165.6,3.1E-06,0
a-75.6x-165.6,-75.6,-165.6,1.5E-06,0
a-72x-165.6,-72,-165.6,0,0
a-68.4x-165.6,-68.4,-165.6,-1.5E-06,0
a-64.8x-165.6,-64.8,-165.6,-3.1E-06,0
a-61.2x-165.6,-61.2,-165.6,-8E-07,0
a-57.6x-165.6,-57.6,-165.6,1.5E-06,0
a-54x-165.6,-54,-165.6,0,0
a-50.4x-165.6,-50.4,-165.6,-1.5E-06,0
a-46.8x-165.6,-46.8,-165.6,8E-07,0
a-43.2x-165.6,-43.2,-165.6,-8E-07,0
a-39.6x-165.6,-39.6,-165.6,1.5E-06,0
a-36x-165.6,-36,-165.6,0,0
a-32.4x-165.6,-32.4,-165.6,-1.5E-06,0
a-28.8x-165.6,-28.8,-165.6,8E-07,0
a-25.2x-165.6,-25.2,-165.6,-8E-07,0
a-21.6x-165.6,-21.6,-165.6,-4E-07,0
a-18x-165.6,-18,-165.6,0,0
a-14.4x-165.6,-14.4,-165.6,4E-07,0
a-10.8x-165.6,-10.8,-165.6,-2E-07,0
a-7.2x-165.6,-7.2,-165.6,2E-07,0
a-3.6x-165.6,-3.6,-165.6,1E-07,0
a0x-165.6,0,-165.6,0,0
a3.6x-165.6,3.6,-165.6,-1E-07,0
a7.2x-165.6,7.2,-165.6,-2E-07,0
a10.8x-165.6,10.8,-165.6,2E-07,0
a14.4x-165.6,14.4,-165.6,-4E-07,0
a18x-165.6,18,-165.6,0,0
a21.6x-165.6,21.6,-165.6,4E-07,0
a25.2x-165.6,25.2,-165.6,8E-07,0
a28.8x-165.6,28.8,-165.6,-8E-07,0
a32.4x-165.6,32.4,-165.6,1.5E-06,0
a36x-165.6,36,-165.6,0,0
a39.6x-165.6,39.6,-165.6,-1.5E-06,0
a43.2x-165.6,43.2,-165.6,8E-07,0
a46.8x-165.6,46.8,-165.6,-8E-07,0
a50.4x-165.6,50.4,-165.6,1.5E-06,0
a54x-165.6,54,-165.6,0,0
a57.6x-165.6,57.6,-165.6,-1.5E-06,0
a61.2x-165.6,61.2,-165.6,8E-07,0
a64.8x-165.6,64.8,-165.6,3.1E-06,0
a68.4x-165.6,68.4,-165.6,1.5E-06,0
a72x-165.6,72,-165.6,0,0
a75.6x-165.6,75.6,-165.6,-1.5E-06,0
a79.2x-165.6,79.2,-165.6,-3.1E-06,0
a82.8x-165.6,82.8,-165.6,3.1E-06,0
a86.4x-165.6,86.4,-165.6,1.5E-06,0
a90x-165.6,90,-165.6,0,0
a93.6x-165.6,93.6,-165.6,-1.5E-06,0
a97.2x-165.6,97.2,-165.6,-3.1E-06,0
a100.8x-165.6,100.8,-165.6,3.1E-06,0
a104.4x-165.6,104.4,-165.6,1.5E-06,0
a108x-165.6,108,-165.6,0,0
a111.6x-165.6,111.6,-165.6,-1.5E-06,0
a115.2x-165.6,115.2,-165.6,-3.1E-06,0
a118.8x-165.6,118.8,-165.6,3.1E-06,0
a122.4x-165.6,122.4,-165.6,1.5E-06,0
a126x-165.6,126,-165.6,0,0
a129.6x-165.6,129.6,-165.6,6.1E-06,0
a133.2x-165.6,133.2,-165.6,-3.1E-06,0
a136.8x-165.6,136.8,-165.6,3.1E-06,0
a140.4x-165.6,140.4,-165.6,-6.1E-06,0
a144x-165.6,144,-165.6,0,0
a147.6x-165.6,147.6,-165.6,6.1E-06,0
a151.2x-165.6,151.2,-165.6,-3.1E-06,0
a154.8x-165.6,154.8,-165.6,3.1E-06,0
a158.4x-165.6,158.4,-165.6,-6.1E-06,0
a162x-165.6,162,-165.6,0,0
a165.6x-165.6,165.6,-165.6,6.1E-06,0
a169.2x-165.6,169.2,-165.6,-3.1E-06,0
a172.8x-165.6,172.8,-165.6,3.1E-06,0
a176.4x-165.6,176.4,-165.6,-6.1E-06,0
a-180x-162,-180,-162,0,0
a-176.4x-162,-176.4,-162,6.1E-06,0
a-172.8x-162,-172.8,-162,-3.1E-06,0
a-169.2x-162,-169.2,-162,3.1E-06,0
a-165.6x-162,-165.6,-162,-6.1E-06,0
a-162x-162,-162,-162,0,0
a-158.4x-162,-158.4,-162,6.1E-06,0
a-154.8x-162,-154.8,-162,-3.1E-06,0
a-151.2x-162,-151.2,-162,3.1E-06,0
