index,x,y,dx,dy
a140.4x-172.8,140.4,-172.8,-0.324016788,-0.014455544
a144x-172.8,144,-172.8,-0.310499329,0.026322022
a147.6x-172.8,147.6,-172.8,-0.306487053,0.066976976
a151.2x-172.8,151.2,-172.8,-0.298145261,0.107509909
a154.8x-172.8,154.8,-172.8,-0.295095071,0.148324525
a158.4x-172.8,158.4,-172.8,-0.29208771,0.18864748
a162x-172.8,162,-172.8,-0.288725943,0.22914135
a165.6x-172.8,165.6,-172.8,-0.291424365,0.26967867
a169.2x-172.8,169.2,-172.8,-0.288132195,0.309294034
a172.8x-172.8,172.8,-172.8,-0.29442099,0.348485358
a176.4x-172.8,176.4,-172.8,-0.291099199,0.387821056
a-180x-169.2,-180,-169.2,-0.220554966,1.844279203
a-176.4x-169.2,-176.4,-169.2,-0.268074517,1.828130674
a-172.8x-169.2,-172.8,-169.2,-0.312885697,1.811399852
a-169.2x-169.2,-169.2,-169.2,-0.362892322,1.794520148
a-165.6x-169.2,-165.6,-169.2,-0.408777882,1.777262613
a-162x-169.2,-162,-169.2,-0.461132692,1.759555168
a-158.4x-169.2,-158.4,-169.2,-0.508825942,1.741494797
a-154.8x-169.2,-154.8,-169.2,-0.561616803,1.722623573
a-151.2x-169.2,-151.2,-169.2,-0.61049633,1.703061948
a-147.6x-169.2,-147.6,-169.2,-0.664133317,1.682876531
a-144x-169.2,-144,-169.2,-0.714785652,1.66163374
a-140.4x-169.2,-140.4,-169.2,-0.767964994,1.639556647
a-136.8x-169.2,-136.8,-169.2,-0.820341212,1.616346239
a-133.2x-169.2,-133.2,-169.2,-0.873626614,1.592016585
a-129.6x-169.2,-129.6,-169.2,-0.92623076,1.566386892
a-126x-169.2,-126,-169.2,-0.979391605,1.540155032
a-122.4x-169.2,-122.4,-169.2,-1.031833477,1.511585958
a-118.8x-169.2,-118.8,-169.2,-1.084676807,1.481359164
a-115.2x-169.2,-115.2,-169.2,-1.136790019,1.44993806
a-111.6x-169.2,-111.6,-169.2,-1.188754219,1.417865354
a-108x-169.2,-108,-169.2,-1.239839209,1.382929839
a-104.4x-169.2,-104.4,-169.2,-1.290271597,1.346577398
a-100.8x-169.2,-100.8,-169.2,-1.340541017,1.308971218
a-97.2x-169.2,-97.2,-169.2,-1.388119033,1.269313733
a-93.6x-169.2,-93.6,-169.2,-1.436983371,1.227290507
a-90x-169.2,-90,-169.2,-1.482016829,1.184425054
a-86.4x-169.2,-86.4,-169.2,-1.528291393,1.139505678
a-82.8x-169.2,-82.8,-169.2,-1.569874205,1.091793571
a-79.2x-169.2,-79.2,-169.2,-1.612750852,1.043135792
a-75.6x-169.2,-75.6,-169.2,-1.651159825,0.99275476
a-72x-169.2,-72,-169.2,-1.68947094,0.940757157
a-68.4x-169.2,-68.4,-169.2,-1.723713855,0.886672808
a-64.8x-169.2,-64.8,-169.2,-1.756604818,0.831456309
a-61.2x-169.2,-61.2,-169.2,-1.78659237,0.774679683
a-57.6x-169.2,-57.6,-169.2,-1.813308488,0.71633585
a-54x-169.2,-54,-169.2,-1.838642196,0.657438724
a-50.4x-169.2,-50.4,-169.2,-1.858409486,0.597529522
a-46.8x-169.2,-46.8,-169.2,-1.877286379,0.535451017
a-43.2x-169.2,-43.2,-169.2,-1.8911093,0.474728166
a-39.6x-169.2,-39.6,-169.2,-1.90296757,0.41146594
a-36x-169.2,-36,-169.2,-1.909816103,0.349667988
a-32.4x-169.2,-32.4,-169.2,-1.914485432,0.287620974
a-28.8x-169.2,-28.8,-169.2,-1.914692814,0.225999563
a-25.2x-169.2,-25.2,-169.2,-1.911572744,0.163999983
a-21.6x-169.2,-21.6,-169.2,-1.904928404,0.102844275
a-18x-169.2,-18,-169.2,-1.894098664,0.042190373
a-14.4x-169.2,-14.4,-169.2,-1.880289057,-0.017987565
