index,cx,cy,dx,dy,newX,newY
a-3.6x-169.2,-3.6,-169.2,-180,0,-3.5999999,-169.2
a0x-169.2,0,-169.2,-180,0,0,-169.2
a3.6x-169.2,3.6,-169.2,-180,0,3.5999999,-169.2
a7.2x-169.2,7.2,-169.2,-180,0,7.1999998,-169.2
a10.8x-169.2,10.8,-169.2,-180,0,10.8000002,-169.2
a14.4x-169.2,14.4,-169.2,-180,0,14.3999996,-169.2
a18x-169.2,18,-169.2,-180,0,18,-169.2
a21.6x-169.2,21.6,-169.2,-180,0,21.6000004,-169.2
a25.2x-169.2,25.2,-169.2,-180,0,25.2000008,-169.2
a28.8x-169.2,28.8,-169.2,-180,0,28.7999992,-169.2
a32.4x-169.2,32.4,-169.2,-180,0,32.4000015,-169.2
a36x-169.2,36,-169.2,-180,0,36,-169.2
a39.6x-169.2,39.6,-169.2,-180,0,39.5999985,-169.2
a43.2x-169.2,43.2,-169.2,-180,0,43.2000008,-169.2
a46.8x-169.2,46.8,-169.2,-180,0,46.7999992,-169.2
a50.4x-169.2,50.4,-169.2,-180,0,50.4000015,-169.2
a54x-169.2,54,-169.2,-180,0,54,-169.2
a57.6x-169.2,57.6,-169.2,-180,0,57.5999985,-169.2
a61.2x-169.2,61.2,-169.2,-180,0,61.2000008,-169.2
a64.8x-169.2,64.8,-169.2,-180,0,64.8000031,-169.2
a68.4x-169.2,68.4,-169.2,-180,0,68.4000015,-169.2
a72x-169.2,72,-169.2,-180,0,72,-169.2
a75.6x-169.2,75.6,-169.2,-180,0,75.5999985,-169.2
a79.2x-169.2,79.2,-169.2,-180,0,79.1999969,-169.2
a82.8x-169.2,82.8,-169.2,-180,0,82.8000031,-169.2
a86.4x-169.2,86.4,-169.2,-180,0,86.4000015,-169.2
a90x-169.2,90,-169.2,-180,0,90,-169.2
a93.6x-169.2,93.6,-169.2,-180,0,93.5999985,-169.2
a97.2x-169.2,97.2,-169.2,-180,0,97.1999969,-169.2
a100.8x-169.2,100.8,-169.2,-180,0,100.8000031,-169.2
a104.4x-169.2,104.4,-169.2,-180,0,104.4000015,-169.2
a108x-169.2,108,-169.2,-180,0,108,-169.2
a111.6x-169.2,111.6,-169.2,-180,0,111.5999985,-169.2
a115.2x-169.2,115.2,-169.2,-180,0,115.1999969,-169.2
a118.8x-169.2,118.8,-169.2,-180,0,118.8000031,-169.2
a122.4x-169.2,122.4,-169.2,-180,0,122.4000015,-169.2
a126x-169.2,126,-169.2,-180,0,126,-169.2
a129.6x-169.2,129.6,-169.2,-180,0,129.6000061,-169.2
a133.2x-169.2,133.2,-169.2,-180,0,133.1999969,-169.2
a136.8x-169.2,136.8,-169.2,-180,0,136.8000031,-169.2
a140.4x-169.2,140.4,-169.2,-180,0,140.3999939,-169.2
a144x-169.2,144,-169.2,-180,0,144,-169.2
a147.6x-169.2,147.6,-169.2,-180,0,147.6000061,-169.2
a151.2x-169.2,151.2,-169.2,-180,0,151.1999969,-169.2
a154.8x-169.2,154.8,-169.2,-180,0,154.8000031,-169.2
a158.4x-169.2,158.4,-169.2,-180,0,158.3999939,-169.2
a162x-169.2,162,-169.2,-180,0,162,-169.2
a165.6x-169.2,165.6,-169.2,-180,0,165.6000061,-169.2
a169.2x-169.2,169.2,-169.2,-180,0,169.1999969,-169.2
a172.8x-169.2,172.8,-169.2,-180,0,172.8000031,-169.2
a176.4x-169.2,176.4,-169.2,-180,0,176.3999939,-169.2
a-180x-165.6,-180,-165.6,-180,0,-180,-165.6
a-176.4x-165.6,-176.4,-165.6,-180,0,-176.3999939,-165.6
a-172.8x-165.6,-172.8,-165.6,-180,0,-172.8000031,-165.6
a-169.2x-165.6,-169.2,-165.6,-180,0,-169.1999969,-165.6
a-165.6x-165.6,-165.6,-165.6,-180,0,-165.6000061,-165.6
a-162x-165.6,-162,-165.6,-180,0,-162,-165.6
a-158.4x-165.6,-158.4,-165.6,-180,0,-158.3999939,-165.6
a-154.8x-165.6,-154.8,-165.6,-180,0,-154.8000031,-165.6
a-151.2x-165.6,-151.2,-165.6,-180,0,-151.1999969,-165.6
a-147.6x-165.6,-147.6,-165.6,-180,0,-147.6000061,-165.6
a-144x-165.6,-144,-165.6,-180,0,-144,-165.6
a-140.4x-165.6,-140.4,-165.6,-180,0,-140.3999939,-165.6
a-136.8x-165.6,-136.8,-165.6,-180,0,-136.8000031,-165.6
a-133.2x-165.6,-133.2,-165.6,-180,0,-133.1999969,-165.6
