OBJECTID,index,cx,cy,x,y,dx,dy
4965,a50.4x-3.6,61.55875845,-38.9627081,50.4,-3.6,11.15875845,-35.3627081
4966,a54x-3.6,66.52148181,-37.56455748,54,-3.6,12.52148181,-33.96455748
4967,a57.6x-3.6,71.25977912,-36.143079,57.6,-3.6,13.65977912,-32.543079
4968,a61.2x-3.6,75.78954415,-34.76765584,61.2,-3.6,14.58954415,-31.16765584
4969,a64.8x-3.6,80.16655179,-33.46154221,64.8,-3.6,15.36655179,-29.86154221
4970,a68.4x-3.6,84.46535395,-32.20497352,68.4,-3.6,16.06535395,-28.60497352
4971,a72x-3.6,88.75469912,-30.9448586,72,-3.6,16.75469912,-27.3448586
4972,a75.6x-3.6,93.05826747,-29.59614378,75.6,-3.6,17.45826747,-25.99614378
4973,a79.2x-3.6,97.29827611,-28.12981432,79.2,-3.6,18.09827611,-24.52981432
4974,a82.8x-3.6,101.4000044,-26.60716824,82.8,-3.6,18.60000437,-23.00716824
4975,a86.4x-3.6,105.3358391,-25.076416,86.4,-3.6,18.93583913,-21.476416
4976,a90x-3.6,109.0640539,-23.59435868,90,-3.6,19.06405387,-19.99435868
4977,a93.6x-3.6,112.5043179,-22.24477797,93.6,-3.6,18.90431788,-18.64477797
4978,a97.2x-3.6,115.538027,-21.15401666,97.2,-3.6,18.33802696,-17.55401666
4979,a100.8x-3.6,118.115066,-20.52922774,100.8,-3.6,17.31506596,-16.92922774
4980,a104.4x-3.6,120.6896109,-20.29761139,104.4,-3.6,16.28961092,-16.69761139
4981,a108x-3.6,123.3277887,-20.31602823,108,-3.6,15.32778866,-16.71602823
4982,a111.6x-3.6,125.8125886,-20.50045282,111.6,-3.6,14.21258864,-16.90045282
4983,a115.2x-3.6,128.016903,-20.77508939,115.2,-3.6,12.81690301,-17.17508939
4984,a118.8x-3.6,130.0416282,-21.04675502,118.8,-3.6,11.24162815,-17.44675502
4985,a122.4x-3.6,132.2302748,-21.17971487,122.4,-3.6,9.830274767,-17.57971487
4986,a126x-3.6,134.73648,-21.15177435,126,-3.6,8.736479997,-17.55177435
4987,a129.6x-3.6,137.3152457,-21.02687224,129.6,-3.6,7.71524574,-17.42687224
4988,a133.2x-3.6,139.9183486,-20.7996133,133.2,-3.6,6.71834862,-17.1996133
4989,a136.8x-3.6,142.5436716,-20.44107361,136.8,-3.6,5.743671586,-16.84107361
4990,a140.4x-3.6,145.2040812,-19.9138493,140.4,-3.6,4.804081238,-16.3138493
4991,a144x-3.6,147.9409433,-19.19430389,144,-3.6,3.940943337,-15.59430389
4992,a147.6x-3.6,150.889521,-18.30556971,147.6,-3.6,3.289520957,-14.70556971
4993,a151.2x-3.6,154.1074448,-17.39102246,151.2,-3.6,2.907444842,-13.79102246
